generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
25000,Eucalyptus_obliqua,Eucalyptus_barberi,0,5.70992,-0.539044,7.07271,0
25000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.277794,4.01458,-3.2029,7.05589,0
25000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.978797,163.324,0.29405,3.84462,0
25000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.660792,6.39695,0.92172,4.46093,0
25000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.977473,138.84,2.58123,3.26116,0
26000,Eucalyptus_obliqua,Eucalyptus_barberi,0,3.73755,-0.618753,7.39279,0
26000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.989124,140.32,0.806366,2.04126,0
26000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.39612,1.88715,-0.616537,6.33396,0
26000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.985145,151.279,2.27951,2.48824,0
27000,Eucalyptus_obliqua,Eucalyptus_barberi,0,12.0992,-1.76756,11.0089,0
27000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.975615,157.308,1.18715,11.9013,0
27000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.145654,10.4485,-0.958489,9.46512,0
27000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.959993,118.682,2.64604,7.28921,0
28000,Eucalyptus_obliqua,Eucalyptus_barberi,0,8.15422,-1.78391,12.1426,0
28000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.979207,161.716,0.391441,19.0625,0
28000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.982118,174.084,2.5999,1.24498,0
29000,Eucalyptus_obliqua,Eucalyptus_barberi,0,0.485052,-0.740087,11.6026,0
29000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.381541,3.42632,-0.88761,3.54673,0
29000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.719507,5.53363,-1.08067,2.69399,0
29000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.974394,178.26,0.781434,38.0248,0
29000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.973405,180.143,3.03032,0.0606079,0
30000,Eucalyptus_obliqua,Eucalyptus_barberi,0,1.00765,-0.820583,4.05626,0
30000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.991232,188.537,0.799644,6.44361,0
30000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.103677,18.1318,-2.04191,13.5823,0
30000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.975636,159.558,2.14693,5.19053,0
31000,Eucalyptus_obliqua,Eucalyptus_barberi,0,1.24585,-1.2324,8.87259,0
31000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.982718,118.365,0.36664,1.67248,0
31000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.979826,124.709,1.2615,0.30958,0
32000,Eucalyptus_obliqua,Eucalyptus_barberi,0,7.8434,-1.53346,7.74987,0
32000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.930095,2.6673,-0.457341,17.5416,0
32000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.979352,120.185,-0.315722,9.71652,0
32000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.97289,209.399,0.42759,3.39696,0
33000,Eucalyptus_obliqua,Eucalyptus_barberi,0,3.75698,-1.39893,4.65734,0
33000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.984495,135.189,0.330117,7.25108,0
33000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.9836,159.202,-0.0764926,33.5976,0
34000,Eucalyptus_obliqua,Eucalyptus_barberi,0,4.22058,-1.15609,8.5044,0
34000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.991157,194.899,-0.728066,5.83172,0
34000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.983964,116.629,0.67095,16.298,0
35000,Eucalyptus_obliqua,Eucalyptus_barberi,0,1.60667,-1.20444,2.97444,0
35000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.989559,205.97,-0.431736,10.4327,0
35000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.962505,153.72,0.946904,6.97232,0
